"measurement_id","location_id","pm25","pm10","no2","co","so2","o3","recorded_at","AQI"
"1","225629","25.2","44","43.1032","1124.7","0","19.2729","2024-10-25 07:06:24","51"
"2","225629","25.2","44","43.1032","1124.7","0","19.2729","2024-10-25 07:09:42","51"
"3","225567","19.5","51","20.5253","124.967","2.8582","32.1216","2024-10-25 07:10:42","37"
"4","228544","22.1","32","8.2101","749.802","2.8582","12.8486","2024-10-25 07:11:42","43"
"5","353740","16.6","37","12.3152","374.901","0","17.1315","2024-10-25 07:12:43","30"
"6","228627","9.6","18","8.2101","374.901","0","21.4144","2024-10-25 07:13:43","16"
"7","354124","12.6","27","8.2101","249.934","0","44.9702","2024-10-25 07:14:43","21"
"8","225629","26.4","45","51.3134","1124.7","0","19.2729","2024-10-25 08:00:01","56"
"9","225567","19.9","52","24.6304","124.967","2.8582","25.6973","2024-10-25 08:01:02","38"
"10","228544","22.3","32","8.2101","624.835","2.8582","10.7072","2024-10-25 08:02:03","43"
"11","353740","16.8","37","16.4203","374.901","0","17.1315","2024-10-25 08:03:04","30"
"12","228627","9.5","17","6.1576","374.901","0","21.4144","2024-10-25 08:04:04","16"
"13","354124","12.3","27","14.3677","249.934","0","47.1116","2024-10-25 08:05:05","21"
"14","225629","27.5","47","51.3134","999.736","0","17.1315","2024-10-25 09:00:01","60"
"15","225567","20.1","53","22.5779","124.967","2.8582","21.4144","2024-10-25 09:01:02","38"
"16","228544","22.6","33","6.1576","624.835","2.8582","14.9901","2024-10-25 09:02:03","44"
"17","353740","17.1","37","22.5779","374.901","0","14.9901","2024-10-25 09:03:04","31"
"18","228627","9.4","17","12.3152","374.901","0","23.5558","2024-10-25 09:04:05","16"
"19","354124","12.1","26","26.6829","249.934","0","44.9702","2024-10-25 09:05:06","20"
"20","225629","28.5","48","43.1032","999.736","0","19.2729","2024-10-25 10:00:01","64"
"21","225567","19.8","52","32.8405","124.967","2.8582","17.1315","2024-10-25 10:01:02","37"
"22","228544","23","33","8.2101","624.835","2.8582","21.4144","2024-10-25 10:02:02","45"
"23","353740","17.3","37","24.6304","499.868","2.8582","17.1315","2024-10-25 10:03:03","31"
"24","228627","9.4","17","4.1051","374.901","0","25.6973","2024-10-25 10:04:04","16"
"25","354124","12.1","26","20.5253","249.934","0","42.8288","2024-10-25 10:05:05","20"
"26","225629","28.8","48","28.7355","874.769","0","23.5558","2024-10-25 11:00:00","66"
"27","225567","19.9","53","41.0507","124.967","2.8582","19.2729","2024-10-25 11:01:01","38"
"28","228544","23.4","33","8.2101","624.835","2.8582","29.9801","2024-10-25 11:02:02","46"
"29","353740","17.6","37","16.4203","499.868","2.8582","21.4144","2024-10-25 11:03:03","32"
"30","228627","9.4","17","2.0525","374.901","2.8582","29.9801","2024-10-25 11:04:04","16"
"31","354124","12.1","26","20.5253","374.901","0","42.8288","2024-10-25 11:05:05","20"
"32","225629","29.1","49","20.5253","874.769","0","32.1216","2024-10-25 12:00:03","67"
"33","225567","20.3","53","47.2083","124.967","2.8582","23.5558","2024-10-25 12:01:04","39"
"34","228544","23.9","34","8.2101","624.835","2.8582","38.5459","2024-10-25 12:02:05","47"
"35","353740","17.7","37","18.4728","499.868","2.8582","27.8387","2024-10-25 12:03:06","32"
"36","228627","9.5","17","2.0525","374.901","2.8582","36.4045","2024-10-25 12:04:07","16"
"37","354124","12.2","27","22.5779","374.901","0","44.9702","2024-10-25 12:05:08","20"
"38","225629","29.1","49","18.4728","749.802","0","42.8288","2024-10-25 13:00:01","67"
"39","225567","20.5","53","38.9981","124.967","2.8582","32.1216","2024-10-25 13:01:02","39"
"40","228544","24.2","34","6.1576","624.835","2.8582","47.1116","2024-10-25 13:02:03","48"
"41","353740","17.8","36","14.3677","499.868","2.8582","36.4045","2024-10-25 13:03:04","33"
"42","228627","9.3","17","2.0525","249.934","2.8582","40.6873","2024-10-25 13:04:05","16"
"43","354124","12.2","26","22.5779","374.901","0","49.2531","2024-10-25 13:05:06","20"
"44","225567","20.5","53","38.9981","124.967","2.8582","32.1216","2024-10-25 13:15:14","39"
"45","228544","24.2","34","6.1576","624.835","2.8582","47.1116","2024-10-25 13:16:14","48"
"46","353740","17.8","36","14.3677","499.868","2.8582","36.4045","2024-10-25 13:17:14","33"
"47","228627","9.3","17","2.0525","249.934","2.8582","40.6873","2024-10-25 13:18:15","16"
"48","354124","12.2","26","22.5779","374.901","0","49.2531","2024-10-25 13:19:15","20"
"49","225629","29.1","49","14.3677","749.802","0","53.536","2024-10-25 14:00:01","67"
"50","225567","20.8","54","30.788","124.967","2.8582","42.8288","2024-10-25 14:01:03","40"
"51","228544","24.4","35","6.1576","624.835","2.8582","55.6774","2024-10-25 14:02:04","49"
"52","353740","18","34","12.3152","499.868","2.8582","44.9702","2024-10-25 14:03:05","33"
"53","228627","9.3","17","2.0525","249.934","0","47.1116","2024-10-25 14:04:06","16"
"54","354124","12.1","26","2.0525","374.901","0","55.6774","2024-10-25 14:05:07","20"
"55","225629","29","48","16.4203","749.802","0","68.526","2024-10-25 15:00:01","66"
"56","225567","21.1","54","41.0507","124.967","2.8582","49.2531","2024-10-25 15:01:02","41"
"57","228544","24.7","35","6.1576","624.835","2.8582","64.2432","2024-10-25 15:02:03","49"
"58","353740","18.2","33","20.5253","499.868","2.8582","53.536","2024-10-25 15:03:04","34"
"59","228627","9.2","17","2.0525","249.934","0","51.3945","2024-10-25 15:04:05","15"
"60","354124","12.2","27","2.0525","374.901","0","66.3846","2024-10-25 15:05:06","20"
"61","225629","28.9","48","16.4203","624.835","0","81.3747","2024-10-25 16:00:00","66"
"62","225567","21.1","54","43.1032","124.967","2.8582","59.9603","2024-10-25 16:01:02","41"
"63","228544","24.9","36","6.1576","499.868","2.8582","72.8089","2024-10-25 16:02:03","50"
"64","353740","18.3","32","16.4203","499.868","2.8582","59.9603","2024-10-25 16:03:04","34"
"65","228627","9.2","17","2.0525","249.934","0","57.8188","2024-10-25 16:04:05","15"
"66","354124","12.2","27","2.0525","374.901","0","77.0918","2024-10-25 16:05:06","20"
"67","225629","28.5","47","18.4728","499.868","0","96.3647","2024-10-25 17:00:00","64"
"68","225567","21.5","55","36.9456","124.967","2.8582","66.3846","2024-10-25 17:01:01","42"
"69","228544","25.1","36","6.1576","499.868","2.8582","79.2332","2024-10-25 17:02:02","51"
"70","353740","18.5","32","22.5779","499.868","5.7164","68.526","2024-10-25 17:03:03","34"
"71","228627","9.2","17","4.1051","124.967","0","64.2432","2024-10-25 17:04:04","15"
"72","354124","12.2","27","2.0525","374.901","0","87.799","2024-10-25 17:05:05","20"
"73","225629","28.3","47","28.7355","499.868","0","104.93","2024-10-25 18:00:01","64"
"74","225567","21.8","55","36.9456","124.967","2.8582","74.9503","2024-10-25 18:01:01","42"
"75","228544","25.3","37","12.3152","624.835","2.8582","79.2332","2024-10-25 18:02:03","52"
"76","353740","18.7","31","20.5253","499.868","5.7164","74.9503","2024-10-25 18:03:04","35"
"77","228627","9.1","17","4.1051","124.967","2.8582","66.3846","2024-10-25 18:04:05","15"
"78","354124","12.3","27","2.0525","374.901","0","100.648","2024-10-25 18:05:05","21"
"79","225629","28.3","47","28.7355","499.868","0","109.213","2024-10-25 19:00:00","64"
"80","225567","21.8","55","36.9456","124.967","2.8582","74.9503","2024-10-25 19:01:01","42"
"81","228544","25.3","37","12.3152","624.835","2.8582","79.2332","2024-10-25 19:02:02","52"
"82","353740","18.7","31","20.5253","499.868","5.7164","74.9503","2024-10-25 19:03:03","35"
"83","228627","9.1","17","4.1051","124.967","2.8582","66.3846","2024-10-25 19:04:04","15"
"84","354124","12.3","27","2.0525","374.901","0","100.648","2024-10-25 19:05:05","21"
"85","225629","28.5","47","59.5235","499.868","0","111.355","2024-10-25 20:00:00","64"
"86","225567","21.8","56","41.0507","124.967","2.8582","79.2332","2024-10-25 20:01:01","42"
"87","228544","25.3","37","45.1558","624.835","2.8582","66.3846","2024-10-25 20:02:02","52"
"88","353740","18.8","30","20.5253","499.868","5.7164","83.5161","2024-10-25 20:03:03","35"
"89","228627","8.8","16","6.1576","124.967","0","68.526","2024-10-25 20:04:04","15"
"90","354124","11.9","26","43.1032","374.901","0","115.638","2024-10-25 20:05:05","20"
"91","225629","28.2","48","63.6286","624.835","0","102.789","2024-10-25 21:00:00","63"
"92","225567","21.8","56","41.0507","124.967","2.8582","79.2332","2024-10-25 21:01:01","42"
"93","228544","25.3","37","45.1558","624.835","2.8582","66.3846","2024-10-25 21:02:02","52"
"94","353740","18.8","30","20.5253","499.868","5.7164","83.5161","2024-10-25 21:03:03","35"
"95","228627","8.8","16","6.1576","124.967","0","68.526","2024-10-25 21:04:04","15"
"96","354124","11.9","26","43.1032","374.901","0","115.638","2024-10-25 21:05:05","20"
"97","225629","28.2","48","69.7862","624.835","0","89.9404","2024-10-25 22:00:01","63"
"98","225567","21.8","56","41.0507","124.967","2.8582","79.2332","2024-10-25 22:01:02","42"
"99","228544","25.3","37","45.1558","624.835","2.8582","66.3846","2024-10-25 22:02:04","52"
"100","353740","18.8","30","20.5253","499.868","5.7164","83.5161","2024-10-25 22:03:05","35"
"101","228627","8.8","16","6.1576","124.967","0","68.526","2024-10-25 22:04:14","15"
"102","354124","11.9","26","43.1032","374.901","0","115.638","2024-10-25 22:05:21","20"
"103","225629","27.9","48","71.8387","749.802","0","74.9503","2024-10-25 23:00:05","62"
"104","225567","21.8","56","41.0507","124.967","2.8582","79.2332","2024-10-25 23:01:06","42"
"105","228544","25.3","37","45.1558","624.835","2.8582","66.3846","2024-10-25 23:02:07","52"
"106","353740","18.8","30","20.5253","499.868","5.7164","83.5161","2024-10-25 23:03:08","35"
"107","228627","8.8","16","6.1576","124.967","0","68.526","2024-10-25 23:04:09","15"
"108","354124","11.9","26","43.1032","374.901","0","115.638","2024-10-25 23:05:10","20"
"109","225629","27.9","48","82.1014","874.769","0","57.8188","2024-10-26 00:00:01","62"
"110","225567","22.3","56","20.5253","374.901","2.8582","49.2531","2024-10-26 00:01:02","43"
"111","228544","24.5","36","10.2627","749.802","2.8582","34.263","2024-10-26 00:02:03","49"
"112","353740","20.5","32","51.3134","749.802","5.7164","83.5161","2024-10-26 00:03:04","39"
"113","228627","8.6","15","16.4203","124.967","0","62.1017","2024-10-26 00:04:04","14"
"114","354124","11.7","25","26.6829","499.868","0","89.9404","2024-10-26 00:05:05","19"
"115","225629","27.6","48","75.9438","874.769","0","42.8288","2024-10-26 01:00:00","61"
"116","225567","22.3","56","20.5253","374.901","2.8582","49.2531","2024-10-26 01:01:01","43"
"117","228544","24.5","36","10.2627","749.802","2.8582","34.263","2024-10-26 01:02:02","49"
"118","353740","20.5","32","51.3134","749.802","5.7164","83.5161","2024-10-26 01:03:03","39"
"119","228627","8.6","15","16.4203","124.967","0","62.1017","2024-10-26 01:04:04","14"
"120","354124","11.7","25","26.6829","499.868","0","89.9404","2024-10-26 01:05:04","19"
"121","225629","27.3","47","82.1014","999.736","0","29.9801","2024-10-26 02:00:00","60"
"122","225567","22.3","56","20.5253","374.901","2.8582","49.2531","2024-10-26 02:01:01","43"
"123","228544","24.5","36","10.2627","749.802","2.8582","34.263","2024-10-26 02:02:02","49"
"124","353740","20.5","32","51.3134","749.802","5.7164","83.5161","2024-10-26 02:03:03","39"
"125","228627","8.6","15","16.4203","124.967","0","62.1017","2024-10-26 02:04:04","14"
"126","354124","11.7","25","26.6829","499.868","0","89.9404","2024-10-26 02:05:05","19"
"127","225567","22.3","56","20.5253","374.901","2.8582","49.2531","2024-10-26 02:15:12","43"
"128","228544","24.5","36","10.2627","749.802","2.8582","34.263","2024-10-26 02:16:12","49"
"129","353740","20.5","32","51.3134","749.802","5.7164","83.5161","2024-10-26 02:17:12","39"
"130","228627","8.6","15","16.4203","124.967","0","62.1017","2024-10-26 02:18:12","14"
"131","354124","11.7","25","26.6829","499.868","0","89.9404","2024-10-26 02:19:12","19"
"132","225629","27","47","67.7336","999.736","0","17.1315","2024-10-26 03:00:01","59"
"133","225567","22.3","56","20.5253","374.901","2.8582","49.2531","2024-10-26 03:01:01","43"
"134","228544","24.5","36","10.2627","749.802","2.8582","34.263","2024-10-26 03:02:02","49"
"135","353740","20.5","32","51.3134","749.802","5.7164","83.5161","2024-10-26 03:03:04","39"
"136","228627","8.6","15","16.4203","124.967","0","62.1017","2024-10-26 03:04:04","14"
"137","354124","11.7","25","26.6829","499.868","0","89.9404","2024-10-26 03:05:05","19"
"138","225567","22.3","56","20.5253","374.901","2.8582","49.2531","2024-10-26 03:15:12","43"
"139","228544","24.5","36","10.2627","749.802","2.8582","34.263","2024-10-26 03:16:12","49"
"140","353740","20.5","32","51.3134","749.802","5.7164","83.5161","2024-10-26 03:17:12","39"
"141","228627","8.6","15","16.4203","124.967","0","62.1017","2024-10-26 03:18:12","14"
