"measurement_id","location_id","pm25","recorded_at","AQI"
"1","1324","7.9","2024-10-25 07:15:44","44"
"2","589967","4.4","2024-10-25 07:16:44","24"
"3","2162178","17.22","2024-10-25 07:17:45","66"
"4","1590755","2.92","2024-10-25 07:18:46","16"
"5","8118","213","2024-10-25 07:19:47","288"
"6","225617","32.7","2024-10-25 07:20:48","95"
"7","1214722","6","2024-10-25 07:21:49","33"
"8","9466","6.67","2024-10-25 07:22:51","37"
"9","1324","8.4","2024-10-25 08:06:06","47"
"10","589967","5.1","2024-10-25 08:07:07","28"
"11","2162178","17.9","2024-10-25 08:08:08","67"
"12","1590755","2.92","2024-10-25 08:09:09","16"
"13","8118","175","2024-10-25 08:10:10","250"
"14","225617","32.7","2024-10-25 08:11:11","95"
"15","1214722","6","2024-10-25 08:12:13","33"
"16","9466","7.07","2024-10-25 08:13:13","39"
"17","1324","8.1","2024-10-25 09:06:07","45"
"18","589967","6","2024-10-25 09:07:08","33"
"19","2162178","18.7","2024-10-25 09:08:09","69"
"20","1590755","2.85","2024-10-25 09:09:10","16"
"21","8118","155","2024-10-25 09:10:11","230"
"22","225617","33.4","2024-10-25 09:11:12","96"
"23","1214722","7","2024-10-25 09:12:13","39"
"24","9466","7.37","2024-10-25 09:13:14","41"
"25","1324","9.7","2024-10-25 10:06:06","52"
"26","589967","3.7","2024-10-25 10:07:07","21"
"27","2162178","19.13","2024-10-25 10:08:08","70"
"28","1590755","3.57","2024-10-25 10:09:08","20"
"29","8118","155","2024-10-25 10:10:09","230"
"30","225617","32.9","2024-10-25 10:11:10","95"
"31","1214722","6","2024-10-25 10:12:11","33"
"32","9466","7.33","2024-10-25 10:13:12","41"
"33","1324","9.8","2024-10-25 11:06:06","52"
"34","589967","3.5","2024-10-25 11:07:06","19"
"35","2162178","19.09","2024-10-25 11:08:07","70"
"36","1590755","3.73","2024-10-25 11:09:08","21"
"37","8118","163","2024-10-25 11:10:09","238"
"38","225617","35.2","2024-10-25 11:11:10","100"
"39","1214722","8","2024-10-25 11:12:10","44"
"40","9466","7.2","2024-10-25 11:13:11","40"
"41","1324","8.9","2024-10-25 12:06:09","49"
"42","589967","3.5","2024-10-25 12:07:10","19"
"43","2162178","19.65","2024-10-25 12:08:11","71"
"44","1590755","3.77","2024-10-25 12:09:12","21"
"45","8118","158","2024-10-25 12:10:12","233"
"46","225617","35.4","2024-10-25 12:11:13","101"
"47","1214722","6","2024-10-25 12:12:14","33"
"48","9466","7.09","2024-10-25 12:13:15","39"
"49","1324","8.9","2024-10-25 13:06:07","49"
"50","589967","3.4","2024-10-25 13:07:07","19"
"51","2162178","20.28","2024-10-25 13:08:08","72"
"52","1590755","3.77","2024-10-25 13:09:09","21"
"53","8118","111","2024-10-25 13:10:10","190"
"54","225617","35.9","2024-10-25 13:11:11","102"
"55","1214722","7","2024-10-25 13:12:12","39"
"56","9466","7.01","2024-10-25 13:13:13","39"
"57","1324","8.9","2024-10-25 13:20:15","49"
"58","589967","3.4","2024-10-25 13:21:15","19"
"59","2162178","20.28","2024-10-25 13:22:15","72"
"60","1590755","3.77","2024-10-25 13:23:16","21"
